OrgId,StartPoint,EndPoint,SegmentTemplate,Vehicle,TravelTime,StartsAsStartPoint,EndsAsEndPoint,Direction,PLC-Bits,PLC-Word,PLC-Word2,AddWeight,Length,CarrierTypes,Remark
138,37,60,Curve_Reverse,Quad1,7137,0,0,0,0,0,0,0,4282,255, 
139,60,37,Curve_Forward,Quad1,7137,1,1,1,0,0,0,0,4282,255, 
141,17,61,Quad1_Normal_Forward,Quad1,4022,0,0,1,0,0,0,0,4827,1, 
144,17,54,Rotation_Reverse,Quad1,10482,1,1,0,0,0,0,0,3930,255, 
145,37,55,Curve_Reverse,Quad1,8799,1,1,0,0,0,0,0,3960,255, 
148,18,17,SplineRotation_Reverse,Quad1,7900,1,1,0,0,0,0,0,5074,255, 
149,17,18,SplineRotation_Forward,Quad1,7492,0,0,1,0,0,0,0,5074,255, 
150,33,62,Curve_Reverse,Quad1,8722,0,0,0,0,0,0,0,3925,255, 
151,62,33,Curve_Forward,Quad1,8722,1,1,1,0,0,0,0,3925,255, 
152,62,17,Quad1_Normal_Reverse,Quad1,3299,0,1,0,0,0,0,0,3959,1, 
153,17,62,Quad1_Normal_Forward,Quad1,3300,0,1,1,0,0,0,0,3959,1, 
154,17,11,Curve_Forward,Quad1,5884,0,1,1,0,0,0,0,3972,255, 
155,11,17,Curve_Reverse,Quad1,6619,0,1,0,0,0,0,0,3972,255, 
156,61,19,SplineRotation_Forward,Quad1,6982,0,1,1,0,0,0,0,4700,255, 
157,54,13,Curve_Forward,Quad1,6961,0,1,1,0,0,0,0,3655,255, 
158,37,55,Curve_Forward,Quad1,5866,1,1,1,0,0,0,0,3960,255, 
159,13,54,Curve_Reverse,Quad1,6091,0,1,0,0,0,0,0,3655,255, 
